องค์ประกอบ,หน่วย, หินใหญ่ (ลบ.ม.) ,, หินย่อย (ลบ.ม.) ,, ทรายหยาบ (ลบ.ม.) ,, ปูนซีเมนต์ (ถุง) ,, หินคลุก (ลบ.ม.) ,
งาน,, อัตรา , ปริมาณที่ใช้ , อัตรา , ปริมาณที่ใช้ , อัตรา , ปริมาณที่ใช้ , อัตรา , ปริมาณที่ใช้ , อัตรา , ปริมาณที่ใช้ 
คอนกรีตล้วนปนหินใหญ่,, 0.61 , -   , 0.57 , -   , 0.66 , -   , 4.81 , -   , -   , -   
คอนกรีตดาด,, -   , -   , 0.77 , -   , 0.89 , -   , 6.24 , -   , -   , -   
คอนกรีตหยาบ,, -   , -   , 0.82 , -   , 0.87 , -   , 4.71 , -   , -   , -   
หินก่อ,, 1.14 , -   , 0.34 , -   , 0.54 , -   , 4.09 , -   , -   , -   
หินเรียง,, 1.28 , -   , -   , -   , -   , -   , -   , -   , -   , -   
หินทิ้ง,, 1.10 , -   , -   , -   , -   , -   , -   , -   , -   , -   
หินเรียงยาแนว,, 1.28 , -   , -   , -   , 0.06 , -   , 0.32 , -   , -   , -   
คอนกรีตโครงสร้าง-140 KSC*,, -   , -   , 0.86 , -   , 0.80 , -   , 5.86 , -   , -   , -   
คอนกรีตโครงสร้าง-175 KSC*,, -   , -   , 0.88 , -   , 0.76 , -   , 6.50 , -   , -   , -   
คอนกรีตโครงสร้าง-210 KSC*,, -   , -   , 0.89 , -   , 0.73 , -   , 7.19 , -   , -   , -   
คอนกรีตโครงสร้าง-245 KSC*,, -   , -   , 0.79 , -   , 0.62 , -   , 7.82 , -   , -   , -   
คอนกรีตโครงสร้าง-280 KSC*,, -   , -   , 0.80 , -   , 0.60 , -   , 8.61 , -   , -   , -   
คอนกรีตโครงสร้าง-315 KSC*,, -   , -   , 0.80 , -   , 0.57 , -   , 9.57 , -   , -   , -   
คอนกรีตโครงสร้าง-350 KSC*,, -   ,, 0.81 , -   , 0.55 , -   , 10.76 , -   , -   ,
DENTAL CONCRETE,, -   , -   , 0.82 , -   , 0.87 , -   , 4.71 , -   , -   , -   
หินคลุก,, -   , -   , -   , -   , -   , -   , -   , -   , 1.50 , -   
,,, -   ,, -   ,, -   ,, -   ,, -   
,, แผนจัดซื้อ ,, แผนจัดซื้อ ,, แผนจัดซื้อ ,, แผนจัดซื้อ ,, แผนจัดซื้อ ,
,, ผลต่าง , -   , ผลต่าง , -   , ผลต่าง , -   , ผลต่าง , -   , ผลต่าง , -   
,,,,,,,,,,,
